Group Name,Group URL,Group Category,Group Type,Join Status
The Six Figure Army- Mission: Success,https://www.facebook.com/groups/sfcmission,SRF Business Group,private,1
Affiliate SEO Mastermind,https://www.facebook.com/groups/thelabresults,SRF Business Group,private,1
Amazing Women Entrepreneurs Network,https://www.facebook.com/groups/1162592607143659,SRF Business Group,private,1
Boss BABE // Share Your Business - Learn + Teach,https://www.facebook.com/groups/bossbabeshareyourbusiness,SRF Business Group,private,1
Boss Babes Networking,https://www.facebook.com/groups/BossBabesWork,SRF Business Group,private,1
Boss Girl Bloggers,https://www.facebook.com/groups/1893619480896731,SRF Business Group,private,1
Boss-Moms,https://www.facebook.com/groups/960492677336904,SRF Business Group,private,1
Boston Business Women,https://www.facebook.com/groups/707324206031298,SRF Business Group,private,1
Business Lounge For Female Entrepreneurs,https://www.facebook.com/groups/WomenBusinessLounge,SRF Business Group,private,1
ClickFunnels (Official),https://www.facebook.com/groups/510495802383466,SRF Business Group,private,1
Digital Marketing Agency Success,https://www.facebook.com/groups/agencysuccess,SRF Business Group,private,1
EcommerceMindset,https://www.facebook.com/groups/EcommerceMindset,SRF Business Group,private,1
Entrepreneurs Thriving in Business,https://www.facebook.com/groups/549448862983950,SRF Business Group,private,1
Facebook Ads & Funnels,https://www.facebook.com/groups/542314903206706,SRF Business Group,private,1
Female Entrepreneurs: Start Your Online Business & Get Clients,https://www.facebook.com/groups/startyouronlinebusinessandgetclients,SRF Business Group,private,1
Freelancing Females,https://www.facebook.com/groups/521845388203729,SRF Business Group,private,1
Good Business Collective,https://www.facebook.com/groups/571503882933914,SRF Business Group,private,1
HighLevel - Official Community,https://www.facebook.com/groups/gohighlevel,SRF Business Group,private,1
HighLevel Job Network,https://www.facebook.com/groups/highleveljobnetwork,SRF Business Group,private,1
How You Built That,https://www.facebook.com/groups/HowYouBuiltThat,SRF Business Group,private,1
Hustling Entrepreneurs,https://www.facebook.com/groups/4102894526408008,SRF Business Group,private,1
Instacart and Shipt: Gig Workers Collective,https://www.facebook.com/groups/gigworkerscollective,SRF Business Group,private,1
Introvert Women Entrepreneurs,https://www.facebook.com/groups/introvertentrepreneur,SRF Business Group,private,1
Local Business Facebook Ad Buyers,https://www.facebook.com/groups/localbusinessadbuyers,SRF Business Group,private,1
Local Marketing Agency Success,https://www.facebook.com/groups/208407446525274,SRF Business Group,private,1
Marketing for Women in Business,https://www.facebook.com/groups/67776624809,SRF Business Group,private,1
Moms Helping Moms Business Network Group,https://www.facebook.com/groups/692164617511552,SRF Business Group,private,1
Moms with A Side Hustle,https://www.facebook.com/groups/234671967706551,SRF Business Group,private,1
"Podcast Guest Collaboration Community - Find a Guest, Be a Guest",https://www.facebook.com/groups/podcastguestcollaboration,SRF Business Group,private,1
Ready Set Blog for Traffic (From Mom to Mompreneur),https://www.facebook.com/groups/momtomompreneur,SRF Business Group,private,1
SaaS Growth Hacks,https://www.facebook.com/groups/SaaSgrowthhacking,SRF Business Group,private,1
SEO Signals Lab,https://www.facebook.com/groups/SEOSignalsLab,SRF Business Group,private,1
Side Hustles & Small Business Ideas,https://www.facebook.com/groups/sidejobsandhustles,SRF Business Group,private,1
Social Media For Entrepreneurs,https://www.facebook.com/groups/1529696874000681,SRF Business Group,private,1
Social Media Marketing,https://www.facebook.com/groups/ocialmediamarketing,SRF Business Group,private,1
Social Media United Private Member Community,https://www.facebook.com/groups/socialmediaunited,SRF Business Group,private,1
"Social Media, Marketing & PR Jobs",https://www.facebook.com/groups/socialmediajob,SRF Business Group,private,1
Social Salad Society,https://www.facebook.com/groups/1371760096265842,SRF Business Group,private,1
Societygal - A Community for Creative Female Entrepreneurs.,https://www.facebook.com/groups/societygal,SRF Business Group,private,1
Successful Women Entrepreneurs,https://www.facebook.com/groups/577346489703716,SRF Business Group,private,1
Superstar SEO,https://www.facebook.com/groups/superstarseo,SRF Business Group,private,1
The Confident OBM Community,https://www.facebook.com/groups/confidentobm,SRF Business Group,private,1
The female entrepreneur community,https://www.facebook.com/groups/forfemaleentrepreneurs,SRF Business Group,private,1
The Infinite Power Of You | Entrepreneurs & Business Badasses Community,https://www.facebook.com/groups/theinfinitepowerofyouinc,SRF Business Group,private,1
The Secret Team,https://www.facebook.com/groups/425584750821878,SRF Business Group,private,1
"The Six Figure Success Society For Coaches, Consultants + Course Creators",https://www.facebook.com/groups/thesixfiguresuccesssociety,SRF Business Group,private,1
The Social Bungalow Community hosted by Shannon Matson,https://www.facebook.com/groups/TheSocialBungalow,SRF Business Group,private,1
The Successful Bookkeeper,https://www.facebook.com/groups/1803698126578678,SRF Business Group,private,1
Tribe of UNSTOPPABLES,https://www.facebook.com/groups/2080754075505322,SRF Business Group,private,1
Unicorn Client Attraction Secrets For High Vibe Wonder Women,https://www.facebook.com/groups/wonderwomenthrive,SRF Business Group,private,1
"Virtual Assistant Tips, Tricks & Advice",https://www.facebook.com/groups/vatipstricks,SRF Business Group,private,1
Women Entrepreneurs - A Networking Community Helping Businesses Grow,https://www.facebook.com/groups/womenentrepreneursanetworkingcommunity,SRF Business Group,private,1
Women Helping Women Entrepreneurs,https://www.facebook.com/groups/2125964544295641,SRF Business Group,private,1
