Group Name,Group URL,Group Category,Group Type,Join Status
2 Under 2,https://www.facebook.com/groups/177991109225617,Moms Groups,private,1
♥️Mommy,https://www.facebook.com/groups/210878639417741,Moms Groups,private,1
"❤Pregnancy, Parenting And All Things Babies❤",https://www.facebook.com/groups/1478703012458466,Moms Groups,public,1
Baby Bump Community: A First Time Pregnancy Support Group,https://www.facebook.com/groups/1778578762194300,Moms Groups,private,1
Baby Led Weaning for Beginners,https://www.facebook.com/groups/165873284155236,Moms Groups,private,1
Birth & Beyond by BabyCenter,https://www.facebook.com/groups/babycenter,Moms Groups,private,1
Bougie Baby Banter,https://www.facebook.com/groups/bougiebabybanter,Moms Groups,private,1
Breastfeeding for Busy Moms,https://www.facebook.com/groups/breastfeedingforbusymoms,Moms Groups,private,1
Breastfeeding Mommies,https://www.facebook.com/groups/449489788491867,Moms Groups,private,1
"C-Section Moms: Pregnancy, Recovery, and Fitness",https://www.facebook.com/groups/1294949087280671,Moms Groups,private,1
Cat,https://www.facebook.com/groups/1636841409944011,Moms Groups,private,1
Diaper Bag Addicts B/S/T,https://www.facebook.com/groups/1375176682716886,Moms Groups,private,1
Evidence Based Feeding & Parenting,https://www.facebook.com/groups/evidencebasedfeeding,Moms Groups,private,1
Exclusive Pumping Mamas,https://www.facebook.com/groups/276376349416641,Moms Groups,private,1
Exclusively Pumping Mamas - Education & Support Group,https://www.facebook.com/groups/1574856819503023,Moms Groups,private,1
Exclusively Pumping Moms PRIVATE GROUP,https://www.facebook.com/groups/exclusivelypumpingmoms,Moms Groups,private,1
Formula Feeding Mommies,https://www.facebook.com/groups/584043315024174,Moms Groups,private,1
Hipp & Holle - European Baby Formula Support,https://www.facebook.com/groups/HiPPHolleEuropeanBabyFormulaSupport,Moms Groups,private,1
HiPP & Holle Formulas Parent Support Community,https://www.facebook.com/groups/HolleandHippFormulaDiscussion,Moms Groups,private,1
Legendairy Mamas,https://www.facebook.com/groups/legendairymamas,Moms Groups,private,1
Mama Milk Breastfeeding and Lactation Support,https://www.facebook.com/groups/lactationmamas,Moms Groups,private,1
Mama Support,https://www.facebook.com/groups/1878900602371638,Moms Groups,private,1
Mama Tribe,https://www.facebook.com/groups/1629917537103740,Moms Groups,private,1
Mamas Raising Wildflowers,https://www.facebook.com/groups/2201688510158938,Moms Groups,private,1
Modern Parenting Hub,https://www.facebook.com/groups/1782125318722290,Moms Groups,private,1
Mom Circle,https://www.facebook.com/groups/120215871732858,Moms Groups,private,1
Mommies,https://www.facebook.com/groups/894941613889748,Moms Groups,private,1
Mommies,https://www.facebook.com/groups/2080458165560917,Moms Groups,private,1
Mommy 2 Mommy,https://www.facebook.com/groups/634722490061377,Moms Groups,private,1
Mommy Group ❤️️,https://www.facebook.com/groups/1805440309744035,Moms Groups,private,1
Mommy Needs A Break ~The Group~,https://www.facebook.com/groups/1416085238665940,Moms Groups,private,1
Moms in Tech,https://www.facebook.com/groups/640837306107347,Moms Groups,private,1
Moms of Maine,https://www.facebook.com/groups/657799037614084,Moms Groups,private,1
Moms With Careers Making it All Work,https://www.facebook.com/groups/289356847936405,Moms Groups,private,1
Motherly Love,https://www.facebook.com/groups/motherlylovexoxo,Moms Groups,private,1
New and First Time Mommy Support Group (and TTC Support),https://www.facebook.com/groups/1960811787516594,Moms Groups,private,1
"New Moms - Newborn, Baby and Toddler Support Group",https://www.facebook.com/groups/710029769374595,Moms Groups,private,1
Newton Baby Talk,https://www.facebook.com/groups/newtonbabytalk,Moms Groups,private,1
Official Peloton Mom Group,https://www.facebook.com/groups/1516292842018584,Moms Groups,private,1
Owlet Parents,https://www.facebook.com/groups/401028407401136,Moms Groups,private,1
Parents First by babyfirst,https://www.facebook.com/groups/304084126977914,Moms Groups,private,1
Portland Mamas,https://www.facebook.com/groups/130976623628300,Moms Groups,private,1
Pregnancy & Postpartum Questions Answered,https://www.facebook.com/groups/pregnancyquestionsanswered,Moms Groups,private,1
Pregnancy After Forty Private Group,https://www.facebook.com/groups/pregnancyafterforty,Moms Groups,private,1
Pregnancy and Mom Support Group,https://www.facebook.com/groups/PregnancyAndMomSupport,Moms Groups,private,1
Pregnancy Bumps & Beyond Unfiltered,https://www.facebook.com/groups/694885894028098,Moms Groups,private,1
Pregnant Moms Due in 2021,https://www.facebook.com/groups/DueDateGroup,Moms Groups,private,1
Simple Families: The Community,https://www.facebook.com/groups/489160301279958,Moms Groups,private,1
Simply Moms,https://www.facebook.com/groups/160006508177428,Moms Groups,private,1
The Gentle Nursery’s Non-Toxic Mommies Group,https://www.facebook.com/groups/nontoxicmommies,Moms Groups,private,1
The Mommy Grind,https://www.facebook.com/groups/309797242711569,Moms Groups,private,1
The Mommy Squad,https://www.facebook.com/groups/842145719195875,Moms Groups,private,1
Trying to Conceive <3,https://www.facebook.com/groups/584587801718295,Moms Groups,private,1
Two under Two Support Group,https://www.facebook.com/groups/390646414391221,Moms Groups,private,1
Vegan Pregnancy & Parenting,https://www.facebook.com/groups/veganpregnancyandparenting,Moms Groups,private,1
Washington DC area moms,https://www.facebook.com/groups/1408201516129769,Moms Groups,private,1
Willow & Elvie Pump Group,https://www.facebook.com/groups/WillowElvie,Moms Groups,private,1
